user_id_1,user_id_2,pcc
6251,6575,0.0
6251,7346,0.0
6251,11676,0.0
6251,13552,0.0
6251,16795,1.0
6251,17950,0.0
6251,21014,0.0
6251,23872,0.0
6251,23902,0.0
6251,28634,0.0
6251,30735,0.0
6251,35857,0.0
6251,35859,0.0
6251,37712,0.0
6251,37950,0.0
6251,43246,0.0
6251,46398,0.0
6251,52584,0.0
6251,53174,0.0
6251,56447,1.0
6251,66942,0.0
6251,68555,0.0
6251,69389,0.0
6251,70666,0.0
6251,73681,0.0
6251,75819,0.0
6251,88693,0.0
6251,88733,0.0
6251,89602,0.0
6251,91113,0.0
6251,93047,0.0
6251,95359,1.0
6251,95932,0.0
6251,101851,0.0
6251,102647,0.0
6251,104636,0.0
6251,105028,0.0
6251,105517,0.0
6251,105979,0.0
6251,107784,0.0
6251,110912,0.0
6251,110934,0.0
6251,113270,0.0
6251,126492,0.0
6251,135149,1.0
6251,136382,0.0
6251,140000,0.0
6251,140358,0.0
6251,147847,0.0
6251,148744,0.0
6251,150979,0.0
6251,153662,0.866
6251,158295,0.0
6251,158433,0.0
6251,159506,0.0
6251,162639,0.5
6251,164323,0.0
6251,165308,1.0
6251,170513,0.0
6251,177432,0.0
6251,187145,0.0
6251,187256,0.0
6251,196077,0.0
6251,200226,0.0
6251,203240,0.0
6251,204864,0.6831
6251,210485,0.0
6251,211426,0.0
6251,214786,0.0
6251,220688,0.0
6251,224349,0.0
6251,225763,0.0
6251,226965,0.0
6251,227705,-1.0
6251,229741,0.0
6251,231210,0.0
6251,232945,0.0
6251,235282,0.0
6251,236340,0.0
6251,236757,1.0
6251,241980,0.0
6251,242083,1.0
6251,245410,1.0
6251,255489,0.0
6251,258534,0.0
6251,261829,0.0
6251,265115,0.0
6251,270713,0.0
6251,271448,0.0
6251,274004,0.0
6575,7346,0.0
6575,11676,0.2287
6575,13552,0.0
6575,16795,0.0
6575,17950,0.0
6575,21014,0.0
6575,23872,0.0
6575,23902,-1.0
6575,28634,0.0
6575,30735,0.9177
6575,35857,0.0
6575,35859,0.0
6575,37712,0.0
6575,37950,0.0
6575,43246,-0.5
6575,46398,0.0
6575,52584,0.0
6575,53174,0.0
6575,56447,0.0
6575,66942,0.0
6575,68555,0.0
6575,69389,0.0
6575,70666,0.0
6575,73681,0.0
6575,75819,0.0
6575,88693,0.0
6575,88733,0.0
6575,89602,1.0
6575,91113,0.0
6575,93047,0.0
6575,95359,1.0
6575,95932,0.0
6575,101851,0.0
6575,102647,0.0
6575,104636,0.0
6575,105028,0.0
6575,105517,0.0
6575,105979,0.0
6575,107784,0.0
6575,110912,0.0
6575,110934,0.0
6575,113270,0.0
6575,126492,0.0
6575,135149,0.0
6575,136382,1.0
6575,140000,0.0
6575,140358,0.0
6575,147847,0.0
6575,148744,0.0
6575,150979,0.0
6575,153662,0.0
6575,158295,1.0
6575,158433,0.0
6575,159506,0.0
6575,162639,1.0
6575,164323,1.0
6575,165308,0.0
6575,170513,0.0
6575,177432,0.0
6575,187145,0.0
6575,187256,0.0
6575,196077,0.0
6575,200226,0.0
6575,203240,0.0
6575,204864,0.0
6575,210485,0.0
6575,211426,0.0
6575,214786,0.0
6575,220688,0.0
6575,224349,0.0
6575,225763,1.0
6575,226965,0.0
6575,227705,0.0
6575,229741,0.0
6575,231210,0.0
6575,232945,0.0
6575,235282,0.0
6575,236340,0.0
6575,236757,0.0
6575,241980,0.0
6575,242083,0.0
6575,245410,0.0
6575,255489,0.0
6575,258534,0.5
6575,261829,0.0
6575,265115,0.0
6575,270713,0.0
6575,271448,0.0
6575,274004,0.0
7346,11676,-0.1854
7346,13552,0.0
7346,16795,-1.0
7346,17950,0.0
7346,21014,0.0
7346,23872,0.0
7346,23902,0.0
7346,28634,1.0
7346,30735,0.0
7346,35857,0.0
7346,35859,0.0
7346,37712,0.0
7346,37950,0.0
7346,43246,1.0
7346,46398,0.0
7346,52584,0.0
7346,53174,0.0
7346,56447,0.0
7346,66942,-1.0
7346,68555,0.0
7346,69389,0.0
7346,70666,1.0
7346,73681,1.0
7346,75819,0.0
7346,88693,0.0
7346,88733,0.0
7346,89602,0.0
7346,91113,-0.866
7346,93047,0.0
7346,95359,-1.0
7346,95932,0.0
7346,101851,1.0
7346,102647,0.0
7346,104636,0.0
7346,105028,0.0
7346,105517,0.0
7346,105979,-1.0
7346,107784,1.0
7346,110912,-1.0
7346,110934,0.0
7346,113270,0.0
7346,126492,0.0
7346,135149,0.0
7346,136382,0.0
7346,140000,1.0
7346,140358,0.0
7346,147847,0.0
7346,148744,0.0
7346,150979,0.8704
7346,153662,0.0
7346,158295,1.0
7346,158433,0.0
7346,159506,0.0
7346,162639,0.866
7346,164323,0.0
7346,165308,-1.0
7346,170513,0.0
7346,177432,0.0
7346,187145,0.0
7346,187256,0.0
7346,196077,0.0
7346,200226,-1.0
7346,203240,0.0
7346,204864,0.0
7346,210485,-0.5
7346,211426,1.0
7346,214786,-0.3333
7346,220688,0.0
7346,224349,0.0
7346,225763,0.7746
7346,226965,0.0
7346,227705,0.0
7346,229741,-0.7559
7346,231210,0.0
7346,232945,0.5
7346,235282,0.0
7346,236340,0.0
7346,236757,0.0
7346,241980,-1.0
7346,242083,-1.0
7346,245410,0.0
7346,255489,0.0
7346,258534,0.0
7346,261829,0.0
7346,265115,-1.0
7346,270713,-0.6547
7346,271448,0.0
7346,274004,0.0
11676,13552,-0.603
11676,16795,0.0956
11676,17950,-0.9912
11676,21014,-0.4137
11676,23872,0.9045
11676,23902,0.209
11676,28634,-0.3224
11676,30735,0.6331
11676,35857,0.6154
11676,35859,-0.4696
11676,37712,0.0316
11676,37950,0.0817
11676,43246,-0.1005
11676,46398,0.1101
11676,52584,-0.8704
11676,53174,-0.866
11676,56447,-0.0776
11676,66942,0.8893
11676,68555,-0.1718
11676,69389,0.0
11676,70666,0.201
11676,73681,0.0
11676,75819,-0.3679
11676,88693,0.7649
11676,88733,0.9154
11676,89602,0.7395
11676,91113,0.6286
11676,93047,0.568
11676,95359,0.3439
11676,95932,0.5
11676,101851,0.0
11676,102647,-0.1925
11676,104636,-0.145
11676,105028,-0.4725
11676,105517,0.2011
11676,105979,-0.2145
11676,107784,-0.2178
11676,110912,-0.2676
11676,110934,0.6875
11676,113270,0.0546
11676,126492,-0.1413
11676,135149,-0.3146
11676,136382,-0.1461
11676,140000,-0.4745
11676,140358,0.0
11676,147847,0.2601
11676,148744,-0.5701
11676,150979,0.2791
11676,153662,0.0806
11676,158295,-0.139
11676,158433,-0.069
11676,159506,-0.375
11676,162639,-0.4563
11676,164323,-0.6339
11676,165308,0.2663
11676,170513,-0.393
11676,177432,0.5604
11676,187145,-0.4937
11676,187256,0.2212
11676,196077,-0.4246
11676,200226,-0.3811
11676,203240,0.2352
11676,204864,0.0
11676,210485,0.0933
11676,211426,0.4226
11676,214786,0.383
11676,220688,0.3664
11676,224349,-0.5809
11676,225763,-0.2315
11676,226965,0.1181
11676,227705,-0.4389
11676,229741,-0.1764
11676,231210,-0.4053
11676,232945,-0.1581
11676,235282,-0.1469
11676,236340,-0.1925
11676,236757,-0.1098
11676,241980,-0.0655
11676,242083,-0.1417
11676,245410,-0.3841
11676,255489,0.0943
11676,258534,-0.3783
11676,261829,0.1575
11676,265115,0.618
11676,270713,-0.3399
11676,271448,0.2407
11676,274004,-0.0161
13552,16795,0.3948
13552,17950,1.0
13552,21014,0.0
13552,23872,0.0
13552,23902,0.0
13552,28634,0.0
13552,30735,0.0
13552,35857,0.0
13552,35859,-1.0
13552,37712,0.0
13552,37950,0.866
13552,43246,0.0
13552,46398,0.0
13552,52584,0.0
13552,53174,0.0
13552,56447,0.0
13552,66942,0.0
13552,68555,0.0
13552,69389,0.0
13552,70666,1.0
13552,73681,0.0
13552,75819,0.0
13552,88693,0.0
13552,88733,0.0
13552,89602,1.0
13552,91113,0.0
13552,93047,0.0
13552,95359,0.0
13552,95932,0.0
13552,101851,0.0
13552,102647,0.0
13552,104636,0.5976
13552,105028,0.0
13552,105517,0.0
13552,105979,1.0
13552,107784,0.0
13552,110912,0.0
13552,110934,0.0
13552,113270,0.0
13552,126492,-0.5
13552,135149,1.0
13552,136382,0.0
13552,140000,-1.0
13552,140358,0.0
13552,147847,0.0
13552,148744,0.0
13552,150979,1.0
13552,153662,0.0
13552,158295,0.0
13552,158433,0.0
13552,159506,0.0
13552,162639,0.0
13552,164323,0.0
13552,165308,0.0
13552,170513,0.0
13552,177432,0.0
13552,187145,0.0
13552,187256,0.0
13552,196077,0.0
13552,200226,0.0
13552,203240,0.0
13552,204864,0.0
13552,210485,0.0
