,014028009X,014029628X,034538475X,043935806X,044021145X,044022165X,044023722X,044651652X,059035342X,067976402X,068484267X,068484477X,080410526X,1400031354,1400034779,140067477,140298479,142001740,1558744150,156027321,312195516,312278586,312924585,312966970,312976275,312980140,312983271,312983867,316096199,316601950,316666343,316769487,316776963,345313860,345337662,345339681,345342968,345350499,345361792,345370775,345378490,375706771,375726403,375727345,380002930,380018179,380718340,380789035,380813815,385335482,385484518,385492081,385504209,385722206,399501487,439064864,439064872,439136350,439136369,439139597,440206154,440211727,440213525,440214041,440220602,440221471,440224675,440224764,440225701,440226430,440234743,440498058,440998050,446310786,446605239,446606812,446610038,446672211,449212602,451156609,451167317,451172817,451176464,451184963,452282152,553250426,553268880,553279912,553280341,553280368,553572997,590353403,60392452,60928336,60934417,60938455,60976845,609804138,60987103,61009059,64407667,671001795,671003755,671027360,671041789,679781587,743418174,786868716,804106304,805063897,842329129,971880107
014028009X,1.000000,0.090457,0.000000,-0.955511,-0.321353,0.000000,-0.188963,-0.558852,0.193226,0.721767,0.000000,-0.455946,-0.724878,0.379724,-0.766319,-0.279526,0.356205,0.000000,0.000000,0.000000,-0.925619,0.073456,-0.781853,-0.995776,0.000000,-0.495284,0.000000,-0.509225,0.259760,-0.052445,-0.025052,0.000000,-0.730030,0.000000,-0.214904,0.000000,0.000000,0.000000,0.740755,0.683937,0.000000,-0.544333,-0.990108,-0.908217,0.000000,0.199125,0.445265,0.000000,0.000000,0.684437,0.290582,0.000000,-0.413928,0.827384,0.000000,0.473059,0.800852,-1.000000,0.309503,0.256096,-0.642356,-0.781853,0.117741,-0.294027,-0.690835,-0.039344,0.030099,0.000000,0.000000,0.440914,0.000000,1.000000,0.000000,0.678749,0.000000,0.000000,-0.381919,0.000000,0.059973,0.000000,0.000000,-0.941760,0.000000,0.000000,0.581707,0.053916,0.000000,-0.791006,0.000000,-0.342517,0.000000,1.000000,1.000000,0.384772,0.000000,0.000000,0.138702,0.889254,0.494297,1.000000,-0.094199,0.000000,0.000000,0.541769,-0.261459,0.725888,-0.846506,0.831413,0.000000,0.000000,0.000000,0.580312
014029628X,0.090457,1.000000,-0.263681,0.000000,0.000000,0.000000,0.116626,0.000000,0.000000,0.000000,0.000000,0.702638,0.267924,-0.953648,0.691244,-0.483858,0.000000,0.799813,0.000000,0.000000,-0.357221,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-0.900941,0.496380,0.858873,0.000000,0.684357,-0.999826,0.794028,0.000000,0.000000,0.000000,-0.908574,-0.631585,0.000000,0.999010,1.000000,-0.686128,-0.112011,0.000000,-0.053732,0.000000,0.834633,0.000000,-0.960086,0.000000,-0.767480,-0.658246,0.000000,-0.688228,-0.195815,0.000000,0.000000,-0.953648,0.000000,0.000000,0.230466,0.000000,0.000000,-0.710067,0.000000,0.000000,0.000000,0.287610,-0.987336,-0.464513,-0.998717,0.000000,0.917457,0.000000,-0.662609,0.409175,-0.357577,0.000000,0.000000,0.000000,0.000000,0.000000,0.835832,-0.128185,-0.978591,0.000000,0.000000,-0.000976,0.961055,-0.631236,0.000000,0.693522,0.000000,0.000000,-0.147472,-0.674443,0.628218,-0.821897,0.648596,0.000000,0.000000,0.000000,0.000000,-0.748832,-0.650103,-0.785472,-0.015621,-0.139962,0.000000,0.098421
034538475X,0.000000,-0.263681,1.000000,0.000000,0.382436,-1.000000,0.000000,0.000000,0.217790,-0.316947,0.000000,0.000000,0.858698,0.000000,0.000000,-0.171806,0.000000,0.000000,0.000000,0.000000,0.000000,0.939550,-0.754763,0.944443,-0.982002,0.000000,0.000000,0.917172,0.376173,0.000000,0.000000,0.959162,0.000000,-0.239147,-0.271531,0.000000,0.000000,0.000000,-0.663385,-0.459635,0.000000,1.000000,0.000000,1.000000,0.848344,0.120620,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.996028,0.000000,0.000000,-0.448996,0.000000,0.253129,0.000000,-0.576230,0.000000,0.846907,0.993804,0.871398,-1.000000,-0.884657,-0.929754,0.000000,0.000000,-0.181983,-0.989712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.998984,0.908760,0.721375,-0.999813,0.692456,-1.000000,0.000000,-0.878124,-0.785526,0.000000,0.000000,-0.776822,0.013164,0.329995,0.000000,0.000000,0.000000,0.000000,0.000000,-0.987860,0.000000,-0.459635,0.586988,-0.911285,0.000000,-0.833406,-0.300864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
043935806X,-0.955511,0.000000,0.000000,1.000000,0.612487,0.000000,0.906183,0.000000,-0.524980,0.921894,0.000000,-0.906183,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.056759,0.711294,-0.136750,0.000000,-0.897507,0.000000,1.000000,0.000000,0.000000,0.000000,-0.091178,-0.803478,0.852458,0.000000,0.658226,0.000000,-0.280966,0.120331,-0.714818,-0.559843,0.000000,0.000000,0.000000,0.000000,-0.972247,0.811545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.203011,0.000000,0.141426,-0.730579,-0.472602,0.344336,-0.130580,1.000000,0.490261,-0.423873,-0.536923,0.422805,-0.142373,0.000000,0.000000,0.688749,0.000000,-0.540555,0.000000,-0.277943,0.764291,-0.041658,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.951740,-0.760908,0.000000,0.000000,1.000000,0.000000,-0.996996,-0.921297,1.000000,0.000000,0.932546,0.552746,0.000000,1.000000,0.000000,0.000000,0.000000,-0.330054,0.972932,-0.982709,0.043984,0.000000,0.000000,0.000000,-0.506291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.838725
044021145X,-0.321353,0.000000,0.382436,0.612487,1.000000,-0.515565,-0.031152,-0.709758,-0.434953,-0.496349,-0.145114,0.927136,0.556720,-0.468539,-0.284634,-0.709758,0.648105,-0.942361,-0.711093,0.000000,0.000000,0.730430,-0.193700,0.311565,0.272772,0.000000,-0.231444,0.972893,-0.625853,0.992841,0.876768,0.000000,-0.349867,-0.151945,0.364185,-0.235585,0.183594,0.000000,-0.614517,-0.404400,-0.440127,0.470730,0.000000,0.324999,0.681766,0.547360,-0.996146,0.000000,0.793160,-0.683208,-0.501213,0.533254,-0.231946,-0.381827,0.272088,0.000000,-0.301901,0.000000,-0.885995,0.000000,-0.040242,0.609774,0.798930,0.282937,0.540399,-0.757806,-0.076343,0.104876,-0.396926,0.360137,-0.621736,-0.412099,0.000000,0.514496,0.343514,0.000000,-0.671029,-0.717047,0.000000,0.547058,-0.683211,-0.209397,0.129032,-0.971418,0.000000,0.504482,-0.906936,0.683866,-0.992861,-0.921829,0.379549,0.000000,0.000000,0.247618,-0.115419,0.000000,0.000000,-0.616796,0.000000,-0.017044,0.917297,-0.936026,0.915570,0.707137,0.660549,-0.111390,-0.064257,-0.708507,0.000000,0.000000,-0.902048,0.431095
044022165X,0.000000,0.000000,-1.000000,0.000000,-0.515565,1.000000,0.000000,-0.760160,-0.942139,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.301892,0.000000,0.000000,0.104883,0.000000,0.000000,0.000000,-0.815567,0.333939,0.300537,0.000000,0.000000,0.000000,-0.659498,0.000000,-0.987853,-0.381799,0.000000,0.497483,0.007164,0.000000,0.000000,0.000000,0.000000,0.028674,0.570170,0.000000,0.000000,1.000000,0.000000,0.000000,0.911493,0.000000,0.000000,0.000000,-0.956806,0.473077,-0.307953,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.328726,0.922758,0.504299,0.068804,-0.601252,0.000000,0.931192,-0.031816,-0.320050,0.884564,0.000000,0.000000,0.000000,0.000000,0.000000,-0.883216,0.072680,0.000000,0.000000,-0.014714,1.000000,0.000000,-1.000000,0.000000,0.391109,0.000000,-0.995862,-0.590999,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.188946,-0.231643,0.000000,-0.999992,-0.841171,0.617044,0.721274,0.000000,0.207606,1.000000,-0.824333,-0.869151,0.000000,0.000000,0.000000,0.000000
044023722X,-0.188963,0.116626,0.000000,0.906183,-0.031152,0.000000,1.000000,-0.221240,0.725033,0.000000,0.000000,-0.392728,0.000000,0.000000,0.000000,0.000000,-0.762561,0.000000,0.000000,0.000000,0.774546,0.000000,0.676584,-0.135406,0.000000,0.000000,0.000000,-0.022054,0.000000,0.000000,0.413902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.653533,0.000000,0.160690,0.000000,0.116626,0.000000,-0.716457,0.000000,0.000000,0.000000,0.863822,0.000000,0.000000,-0.760324,0.000000,0.000000,0.000000,-0.679691,0.000000,1.000000,-0.002503,0.000000,-0.436210,-0.396299,-0.976017,0.534769,0.266614,-0.221240,0.000000,0.951443,-0.532172,-0.248238,-0.836169,1.000000,0.000000,-0.507875,0.000000,-0.532452,0.787424,0.000000,0.000000,0.000000,0.587198,0.000000,0.000000,0.000000,0.000000,0.000000,0.944676,0.362998,0.362998,0.000000,0.000000,0.000000,-0.246601,0.000000,0.000000,0.000000,0.906775,0.463770,-0.550625,-0.159208,0.689842,0.000000,0.000000,-0.494162,0.000000,0.000000,0.000000,0.000000,0.000000,0.833877,-0.995047
044651652X,-0.558852,0.000000,0.000000,0.000000,-0.709758,-0.760160,-0.221240,1.000000,0.000000,0.000000,0.000000,-0.364244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.439063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.505729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.221240,-0.098773,0.000000,-0.998094,0.000000,-0.684686,0.000000,0.895607,0.000000,0.000000,0.000000,-0.267531,0.000000,0.966701,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.284415,-0.840039,-0.889730,0.968715,0.880934,-0.869659,0.000000,0.000000,0.806095,0.000000,0.000000,0.000000,0.000000,0.686091,0.000000,0.723661,0.439063,0.000000,-0.999298,0.000000,0.000000,0.000000,0.564809,0.000000,0.000000,-0.538200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.128843,0.038964,0.000000,0.000000,-0.371893,0.000000,0.439287,0.422819,0.000000,0.000000,0.879933,0.000000
059035342X,0.193226,0.000000,0.217790,-0.524980,-0.434953,-0.942139,0.725033,0.000000,1.000000,-0.158932,0.000000,-0.649144,0.060865,0.000000,0.000000,0.728746,-0.990403,0.000000,0.032358,0.000000,0.000000,-0.864021,-0.688154,-0.372902,0.820831,-0.141174,0.000000,-0.856178,0.986235,0.000000,-0.973074,0.000000,-0.202246,-0.554348,-0.982982,-0.125528,0.807256,0.000000,0.000000,0.685088,0.000000,0.217790,0.000000,-0.368551,-0.996358,-0.923954,0.500250,0.000000,-0.194365,0.000000,0.994278,0.000000,-0.149904,0.000000,0.000000,1.000000,0.671101,0.562627,0.777347,0.688440,0.000000,1.000000,-0.891436,0.969457,-0.476111,0.998236,0.000000,-0.927908,-0.389825,0.035091,-0.102894,0.381379,0.000000,0.000000,0.000000,0.000000,0.541151,1.000000,0.000000,0.000000,0.030443,-0.260510,0.000000,0.000000,0.000000,-0.903587,0.000000,0.872025,0.714235,0.708700,-0.249391,0.812340,0.000000,0.000000,0.000000,0.000000,0.000000,0.648925,-0.645643,0.726157,0.000000,0.691250,-0.908365,0.000000,-0.646163,0.476969,-0.288754,0.000000,0.000000,0.000000,0.257036,-0.462380
