user,item,pred_rating
101851,014028009X,10.0000
101851,067976402X,10.0000
101851,1400031354,10.0000
101851,312278586,10.0000
101851,312983271,10.0000
101851,316096199,10.0000
101851,316776963,10.0000
101851,345350499,10.0000
101851,380018179,10.0000
101851,385484518,10.0000
102647,068484267X,10.0000
102647,080410526X,10.0000
102647,440226430,10.0000
102647,439064872,9.5377
102647,044651652X,9.0000
102647,316666343,9.0000
102647,345337662,9.0000
102647,440206154,9.0000
102647,451184963,9.0000
102647,590353403,9.0000
104636,068484267X,10.0000
104636,140067477,10.0000
104636,140298479,10.0000
104636,312195516,10.0000
104636,380018179,10.0000
104636,440998050,10.0000
104636,080410526X,9.8356
104636,380002930,9.8000
104636,451156609,9.6626
104636,446605239,9.5891
105028,043935806X,9.0000
105028,440498058,9.0000
105028,446310786,9.0000
105028,60392452,9.0000
105028,64407667,9.0000
105028,671027360,9.0000
105028,385492081,8.3764
105028,044021145X,8.2540
105028,609804138,8.1301
105028,312924585,8.1046
105517,014028009X,10.0000
105517,1400034779,10.0000
105517,156027321,10.0000
105517,345370775,10.0000
105517,385722206,10.0000
105517,439064864,10.0000
105517,449212602,10.0000
105517,451172817,10.0000
105517,553268880,10.0000
105517,609804138,10.0000
105979,440498058,9.0000
105979,446605239,9.0000
105979,451156609,8.5769
105979,043935806X,8.0000
105979,068484477X,8.0000
105979,080410526X,8.0000
105979,140298479,8.0000
105979,156027321,8.0000
105979,316601950,8.0000
105979,380002930,8.0000
107784,014028009X,10.0000
107784,142001740,10.0000
107784,316776963,10.0000
107784,345339681,10.0000
107784,375726403,10.0000
107784,440226430,10.0000
107784,446605239,10.0000
107784,553572997,10.0000
107784,60928336,10.0000
107784,440224675,9.4965
11676,312983271,10.0000
11676,804106304,10.0000
11676,380789035,8.8652
11676,156027321,8.7203
11676,1400034779,8.7161
11676,440206154,8.6500
11676,60392452,8.5343
11676,345339681,8.1816
11676,440220602,8.1749
11676,312980140,7.9566
13552,1400034779,10.0000
13552,316769487,10.0000
13552,380002930,10.0000
13552,440498058,10.0000
13552,440998050,10.0000
13552,451176464,10.0000
13552,590353403,10.0000
13552,60928336,10.0000
13552,60976845,10.0000
13552,64407667,10.0000
16795,345339681,10.0000
16795,142001740,9.7912
16795,440206154,9.2169
16795,440498058,9.1174
16795,60928336,9.0419
16795,452282152,9.0000
16795,439139597,8.9944
16795,044023722X,8.6713
16795,385722206,8.6028
16795,014028009X,8.5064
17950,014029628X,10.0000
17950,312278586,10.0000
17950,316666343,10.0000
17950,345337662,10.0000
17950,375706771,10.0000
17950,375727345,10.0000
17950,380002930,10.0000
17950,399501487,10.0000
17950,671041789,10.0000
17950,380018179,9.5353
21014,1558744150,9.0000
21014,345339681,9.0000
21014,439136350,9.0000
21014,439136369,9.0000
21014,440211727,9.0000
21014,61009059,9.0000
21014,140067477,8.7682
21014,440206154,8.5906
21014,440224675,8.5713
21014,679781587,8.4420
23872,044022165X,10.0000
23872,044023722X,10.0000
23872,067976402X,10.0000
23872,140067477,10.0000
23872,312195516,10.0000
23872,345350499,10.0000
23872,345361792,10.0000
23872,345370775,10.0000
23872,385504209,10.0000
23872,399501487,10.0000
23902,971880107,9.3663
23902,345361792,9.0000
23902,385722206,9.0000
23902,439064864,9.0000
23902,439064872,9.0000
23902,440498058,9.0000
23902,452282152,9.0000
23902,590353403,9.0000
23902,60392452,9.0000
23902,679781587,9.0000
28634,014029628X,10.0000
28634,034538475X,10.0000
28634,044022165X,10.0000
28634,080410526X,10.0000
28634,140067477,10.0000
28634,140298479,10.0000
28634,142001740,10.0000
28634,1558744150,10.0000
28634,156027321,10.0000
28634,312278586,10.0000
30735,014029628X,10.0000
30735,044023722X,10.0000
30735,067976402X,10.0000
30735,1400031354,10.0000
30735,312278586,10.0000
30735,312983271,10.0000
30735,316096199,10.0000
30735,316601950,10.0000
30735,316776963,10.0000
30735,345337662,10.0000
35857,044023722X,9.0000
35857,059035342X,9.0000
35857,385335482,9.0000
35857,399501487,9.0000
35857,439139597,9.0000
35857,60934417,9.0000
35857,609804138,8.1997
35857,316096199,8.0948
35857,440998050,8.0724
35857,449212602,8.0724
35859,014029628X,10.0000
35859,080410526X,10.0000
35859,140067477,10.0000
35859,316769487,10.0000
35859,345337662,10.0000
35859,380002930,10.0000
35859,380813815,10.0000
35859,439064872,10.0000
35859,439136369,10.0000
35859,553250426,10.0000
37712,345342968,10.0000
37712,345361792,10.0000
37712,380718340,10.0000
37712,385335482,10.0000
37712,385492081,10.0000
37712,385722206,10.0000
37712,399501487,10.0000
37712,439064864,10.0000
37712,439136350,10.0000
37712,449212602,10.0000
37950,380789035,9.0000
37950,451184963,9.0000
37950,786868716,9.0000
37950,804106304,9.0000
37950,375726403,8.5073
37950,385492081,8.3577
37950,440226430,8.0000
37950,446310786,8.0000
37950,399501487,7.9554
37950,380002930,7.7838
43246,316769487,10.0000
43246,316776963,10.0000
43246,440225701,10.0000
43246,446605239,10.0000
43246,1558744150,9.6543
43246,044651652X,9.5531
43246,440220602,9.4462
43246,446672211,9.3679
43246,440221471,9.3663
43246,804106304,9.0487
46398,1400034779,10.0000
46398,316601950,10.0000
46398,345313860,10.0000
46398,345378490,10.0000
46398,385492081,10.0000
46398,440998050,10.0000
46398,553268880,10.0000
46398,60392452,10.0000
46398,446310786,10.0000
46398,067976402X,9.4634
52584,044651652X,10.0000
52584,1558744150,10.0000
52584,312924585,10.0000
52584,345313860,10.0000
52584,375727345,10.0000
52584,385504209,10.0000
52584,439064872,10.0000
52584,440225701,10.0000
52584,451167317,10.0000
52584,440224764,9.8535
53174,014029628X,10.0000
53174,044021145X,10.0000
53174,044022165X,10.0000
53174,044023722X,10.0000
53174,044651652X,10.0000
53174,068484477X,10.0000
53174,156027321,10.0000
53174,312278586,10.0000
53174,312976275,10.0000
53174,312980140,10.0000
56447,014028009X,8.0000
56447,014029628X,8.0000
56447,044022165X,8.0000
56447,044651652X,8.0000
56447,059035342X,8.0000
56447,080410526X,8.0000
56447,1400031354,8.0000
56447,142001740,8.0000
56447,1558744150,8.0000
56447,312924585,8.0000
6251,014029628X,10.0000
6251,044023722X,10.0000
6251,080410526X,10.0000
6251,1400031354,10.0000
6251,1400034779,10.0000
6251,1558744150,10.0000
6251,312966970,10.0000
6251,316601950,10.0000
6251,316769487,10.0000
6251,316776963,10.0000
6575,1400034779,9.0000
6575,439064864,9.0000
6575,140067477,9.0000
6575,142001740,9.0000
6575,316601950,9.0000
6575,345339681,9.0000
6575,345361792,9.0000
6575,375706771,9.0000
6575,380718340,9.0000
6575,385484518,9.0000
66942,385492081,10.0000
66942,671027360,9.5649
66942,345342968,9.5533
66942,449212602,9.4387
66942,014028009X,9.3137
66942,439064864,9.2191
66942,316096199,9.0000
66942,080410526X,9.0000
66942,1558744150,9.0000
66942,345339681,9.0000
68555,014028009X,10.0000
68555,1400031354,10.0000
68555,140067477,10.0000
68555,142001740,10.0000
68555,156027321,10.0000
68555,312278586,10.0000
68555,316776963,10.0000
68555,345339681,10.0000
68555,439139597,10.0000
68555,449212602,10.0000
69389,044022165X,9.0000
69389,068484477X,9.0000
69389,380718340,9.0000
69389,440211727,9.0000
69389,553572997,8.5175
69389,440220602,8.4813
69389,446310786,8.4649
69389,345337662,8.4579
69389,440225701,8.3038
69389,312983867,8.2440
70666,044651652X,10.0000
70666,316776963,10.0000
70666,385722206,10.0000
70666,440211727,10.0000
70666,671027360,10.0000
70666,971880107,10.0000
70666,1400031354,10.0000
70666,451184963,9.7266
70666,590353403,9.7030
70666,553280341,9.5742
7346,345350499,10.0000
7346,345313860,9.5029
7346,439136350,9.4210
7346,044022165X,9.0000
7346,044651652X,9.0000
7346,312976275,9.0000
7346,312983867,9.0000
7346,440220602,9.0000
7346,440224764,9.0000
7346,440225701,9.0000
75819,044023722X,10.0000
75819,1558744150,10.0000
75819,312983271,10.0000
75819,316776963,10.0000
75819,345337662,10.0000
75819,345339681,10.0000
75819,380018179,10.0000
75819,439064872,10.0000
75819,439136369,10.0000
75819,440224764,10.0000
88693,1400034779,9.0000
88693,345361792,9.0000
88693,380718340,9.0000
88693,446310786,9.0000
88693,60392452,9.0000
88693,671001795,9.0000
88693,743418174,9.0000
88693,440998050,8.6416
88693,142001740,8.5229
88693,345339681,8.5210
88733,059035342X,10.0000
88733,1400031354,10.0000
88733,312195516,10.0000
88733,312966970,10.0000
88733,345313860,10.0000
